city_id,pop_sum,pop_susceptible,pop_exposed,pop_infected,pop_recovered
620900,1164627,1164627,0,0,0
621000,2344301,2344301,0,0,0
621100,2876385,2876385,0,0,0
621200,2721659,2721659,0,0,0
622900,2089013,2089013,0,0,0
623000,735802,735802,0,0,0
630100,2429825,2429825,0,0,0
630200,1604960,1604960,0,0,0
632200,301772,301772,0,0,0
632500,484897,484897,0,0,0
632800,501337,501337,0,0,0
640100,2268278,2268278,0,0,0
640200,822962,822962,0,0,0
640300,1443101,1443101,0,0,0
640400,1350956,1350956,0,0,0
640500,1212951,1212951,0,0,0
650100,3743477,3743477,0,0,0
650200,471847,471847,0,0,0
650400,729965,729965,0,0,0
650500,677002,677002,0,0,0
652300,1639602,1639602,0,0,0
652700,471126,471126,0,0,0
652800,1447667,1447667,0,0,0
652900,2774780,2774780,0,0,0
653100,4782524,4782524,0,0,0
653200,2342768,2342768,0,0,0
654000,2849346,2849346,0,0,0
654200,1346743,1346743,0,0,0
654300,677110,677110,0,0,0
659001,717000,717000,0,0,0
659002,409000,409000,0,0,0
659004,143000,143000,0,0,0
820000,100,0,0,0,0
810000,100,0,0,0,0
370116,100,0,0,0,0
